Date,Adj Close,%Change,Returns on 10000
27-09-2022,225.957,0.21%,19952.02
28-09-2022,225.624,-0.15%,19922.54
29-09-2022,226.683,0.47%,20016.11
30-09-2022,228.565,0.83%,20182.24
03-10-2022,227.483,-0.47%,20086.73
04-10-2022,231.036,1.56%,20400.48
06-10-2022,230.935,-0.04%,20391.51
07-10-2022,231.268,0.14%,20420.93
10-10-2022,229.390,-0.81%,20255.09
11-10-2022,227.643,-0.76%,20100.87
12-10-2022,227.794,0.07%,20114.22
13-10-2022,226.330,-0.64%,19984.91
14-10-2022,226.276,-0.02%,19980.12
17-10-2022,227.244,0.43%,20065.64
18-10-2022,230.148,1.28%,20322.07
19-10-2022,230.655,0.22%,20366.83
20-10-2022,232.366,0.74%,20517.93
21-10-2022,231.142,-0.53%,20409.85
25-10-2022,230.649,-0.21%,20366.29
27-10-2022,231.620,0.42%,20451.99
28-10-2022,231.329,-0.13%,20426.34
31-10-2022,233.544,0.96%,20621.90
01-11-2022,234.330,0.34%,20691.33
02-11-2022,233.634,-0.30%,20629.86
03-11-2022,233.308,-0.14%,20601.06
04-11-2022,233.320,0.01%,20602.13
07-11-2022,234.088,0.33%,20669.94
09-11-2022,233.305,-0.33%,20600.77
10-11-2022,231.186,-0.91%,20413.66
11-11-2022,231.191,0.00%,20414.14
14-11-2022,229.309,-0.81%,20247.92
15-11-2022,229.527,0.10%,20267.26
16-11-2022,229.706,0.08%,20283.01
17-11-2022,228.319,-0.60%,20160.51
18-11-2022,226.726,-0.70%,20019.86
21-11-2022,227.353,0.28%,20075.28
22-11-2022,227.860,0.22%,20120.03
23-11-2022,228.350,0.22%,20163.32
24-11-2022,229.604,0.55%,20273.97
25-11-2022,230.801,0.52%,20379.74
28-11-2022,231.045,0.11%,20401.25
29-11-2022,232.036,0.43%,20488.79
30-11-2022,234.364,1.00%,20694.32
01-12-2022,235.347,0.42%,20781.10
02-12-2022,234.437,-0.39%,20700.73
05-12-2022,234.098,-0.14%,20670.79
06-12-2022,233.285,-0.35%,20599.04
07-12-2022,233.428,0.06%,20611.72
08-12-2022,233.477,0.02%,20615.95
09-12-2022,233.869,0.17%,20650.62
12-12-2022,234.666,0.34%,20720.95
13-12-2022,234.398,-0.11%,20697.29
14-12-2022,234.334,-0.03%,20691.65
15-12-2022,232.760,-0.67%,20552.72
16-12-2022,230.588,-0.93%,20360.92
19-12-2022,232.652,0.89%,20543.13
20-12-2022,231.255,-0.60%,20419.84
21-12-2022,227.705,-1.54%,20106.37
22-12-2022,226.027,-0.74%,19958.20
23-12-2022,222.109,-1.73%,19612.21
26-12-2022,225.549,1.55%,19915.97
27-12-2022,226.321,0.34%,19984.12
28-12-2022,226.999,0.30%,20043.98
29-12-2022,227.055,0.02%,20048.97
30-12-2022,227.211,0.07%,20062.68
02-01-2023,227.301,0.04%,20070.62
03-01-2023,226.618,-0.30%,20010.38
04-01-2023,225.008,-0.71%,19868.19
05-01-2023,226.021,0.45%,19957.61
06-01-2023,225.162,-0.38%,19881.82
09-01-2023,226.780,0.72%,20024.65
10-01-2023,226.117,-0.29%,19966.11
11-01-2023,225.924,-0.09%,19949.04
12-01-2023,225.993,0.03%,19955.14
13-01-2023,226.081,0.04%,19962.94
16-01-2023,225.763,-0.14%,19934.88
17-01-2023,226.986,0.54%,20042.82
18-01-2023,227.760,0.34%,20111.16
19-01-2023,227.098,-0.29%,20052.72
20-01-2023,224.689,-1.06%,19840.03
23-01-2023,225.804,0.50%,19938.47
24-01-2023,226.689,0.39%,20016.61
25-01-2023,225.950,-0.33%,19951.34
27-01-2023,226.014,0.03%,19957.02
30-01-2023,225.700,-0.14%,19929.28
31-01-2023,227.269,0.70%,20067.83
01-02-2023,227.233,-0.02%,20064.67
02-02-2023,229.907,1.18%,20300.75
03-02-2023,230.769,0.37%,20376.85
06-02-2023,229.617,-0.50%,20275.16
07-02-2023,228.783,-0.36%,20201.52
08-02-2023,229.779,0.44%,20289.50
09-02-2023,229.474,-0.13%,20262.53
10-02-2023,229.827,0.15%,20293.74
13-02-2023,228.774,-0.46%,20200.75
14-02-2023,228.771,0.00%,20200.43
15-02-2023,229.536,0.33%,20267.98
16-02-2023,228.628,-0.40%,20187.85
17-02-2023,228.084,-0.24%,20139.81
20-02-2023,227.166,-0.40%,20058.76
21-02-2023,226.456,-0.31%,19996.09
22-02-2023,224.597,-0.82%,19831.93
23-02-2023,225.206,0.27%,19885.63
24-02-2023,224.973,-0.10%,19865.09
27-02-2023,223.102,-0.83%,19699.90
28-02-2023,223.184,0.04%,19707.12
01-03-2023,224.336,0.52%,19808.88
02-03-2023,223.790,-0.24%,19760.68
03-03-2023,225.520,0.77%,19913.40
06-03-2023,226.024,0.22%,19957.90
08-03-2023,226.436,0.18%,19994.23
09-03-2023,224.926,-0.67%,19860.98
10-03-2023,225.132,0.09%,19879.09
13-03-2023,222.325,-1.25%,19631.25
14-03-2023,221.657,-0.30%,19572.32
15-03-2023,221.329,-0.15%,19543.31
16-03-2023,221.490,0.07%,19557.58
17-03-2023,222.503,0.46%,19647.03
20-03-2023,221.308,-0.54%,19541.47
21-03-2023,221.690,0.17%,19575.23
22-03-2023,222.516,0.37%,19648.14
23-03-2023,222.161,-0.16%,19616.84
24-03-2023,220.574,-0.71%,19476.67
27-03-2023,219.254,-0.60%,19360.09
28-03-2023,218.230,-0.47%,19269.67
29-03-2023,219.663,0.66%,19396.24
31-03-2023,222.191,1.15%,19619.48
03-04-2023,224.026,0.83%,19781.48
05-04-2023,225.555,0.68%,19916.50
06-04-2023,225.408,-0.07%,19903.55
10-04-2023,225.092,-0.14%,19875.60
11-04-2023,226.018,0.41%,19957.38
12-04-2023,226.469,0.20%,19997.15
13-04-2023,226.751,0.12%,20022.12
17-04-2023,227.913,0.51%,20124.65
18-04-2023,227.633,-0.12%,20099.99
19-04-2023,227.822,0.08%,20116.65
20-04-2023,228.457,0.28%,20172.76
21-04-2023,229.342,0.39%,20250.90
24-04-2023,229.712,0.16%,20283.58
25-04-2023,230.069,0.16%,20315.11
26-04-2023,230.623,0.24%,20364.01
27-04-2023,230.985,0.16%,20395.98
28-04-2023,233.785,1.21%,20643.19
02-05-2023,233.796,0.00%,20644.16
03-05-2023,234.376,0.25%,20695.39
04-05-2023,235.431,0.45%,20788.52
05-05-2023,235.329,-0.04%,20779.56
08-05-2023,236.653,0.56%,20896.43
09-05-2023,236.806,0.06%,20909.93
10-05-2023,237.645,0.35%,20984.04
11-05-2023,238.260,0.26%,21038.33
12-05-2023,238.943,0.29%,21098.64
15-05-2023,240.662,0.72%,21250.43
16-05-2023,240.074,-0.24%,21198.47
17-05-2023,239.825,-0.10%,21176.52
18-05-2023,239.350,-0.20%,21134.60
19-05-2023,239.381,0.01%,21137.30
22-05-2023,239.152,-0.10%,21117.12
23-05-2023,239.520,0.15%,21149.56
24-05-2023,239.499,-0.01%,21147.74
25-05-2023,240.331,0.35%,21221.20
26-05-2023,242.141,0.75%,21380.99
29-05-2023,243.195,0.44%,21474.10
