Date,Adj Close,%Change,Returns on 10000
29-06-2022,121.304,-0.07%,18788.34
30-06-2022,119.983,-1.09%,18583.74
01-07-2022,120.359,0.31%,18641.84
04-07-2022,121.605,1.04%,18834.86
05-07-2022,121.545,-0.05%,18825.53
06-07-2022,123.150,1.32%,19074.23
07-07-2022,125.039,1.53%,19366.72
08-07-2022,125.372,0.27%,19418.39
11-07-2022,126.520,0.92%,19596.07
12-07-2022,126.171,-0.28%,19542.14
13-07-2022,125.925,-0.19%,19504.07
14-07-2022,125.158,-0.61%,19385.24
15-07-2022,125.929,0.62%,19504.55
18-07-2022,127.642,1.36%,19769.90
19-07-2022,128.549,0.71%,19910.35
20-07-2022,128.349,-0.15%,19879.50
21-07-2022,130.318,1.53%,20184.33
22-07-2022,130.487,0.13%,20210.57
25-07-2022,130.505,0.01%,20213.39
26-07-2022,129.809,-0.53%,20105.65
27-07-2022,130.916,0.85%,20277.08
28-07-2022,131.074,0.12%,20301.49
29-07-2022,132.637,1.19%,20543.66
01-08-2022,134.387,1.32%,20814.68
02-08-2022,134.517,0.10%,20834.76
03-08-2022,133.967,-0.41%,20749.65
04-08-2022,132.779,-0.89%,20565.54
05-08-2022,133.310,0.40%,20647.79
08-08-2022,134.005,0.52%,20755.44
10-08-2022,133.684,-0.24%,20705.75
11-08-2022,134.673,0.74%,20858.95
12-08-2022,134.442,-0.17%,20823.17
16-08-2022,136.154,1.27%,21088.37
17-08-2022,136.079,-0.05%,21076.78
18-08-2022,136.246,0.12%,21102.54
19-08-2022,135.940,-0.22%,21055.18
22-08-2022,134.419,-1.12%,20819.67
23-08-2022,135.726,0.97%,21021.97
24-08-2022,137.234,1.11%,21255.55
25-08-2022,136.553,-0.50%,21150.04
26-08-2022,138.059,1.10%,21383.35
29-08-2022,137.425,-0.46%,21285.24
30-08-2022,139.807,1.73%,21654.15
01-09-2022,140.349,0.39%,21738.02
02-09-2022,141.548,0.85%,21923.76
05-09-2022,142.541,0.70%,22077.64
06-09-2022,142.610,0.05%,22088.23
07-09-2022,143.295,0.48%,22194.33
08-09-2022,144.582,0.90%,22393.67
09-09-2022,145.295,0.49%,22504.16
12-09-2022,146.650,0.93%,22714.08
13-09-2022,147.028,0.26%,22772.57
14-09-2022,147.723,0.47%,22880.24
15-09-2022,148.087,0.25%,22936.64
16-09-2022,144.628,-2.34%,22400.81
19-09-2022,146.442,1.25%,22681.77
20-09-2022,148.100,1.13%,22938.57
21-09-2022,147.089,-0.68%,22782.00
22-09-2022,147.027,-0.04%,22772.47
23-09-2022,143.756,-2.22%,22265.82
26-09-2022,138.901,-3.38%,21513.81
27-09-2022,139.239,0.24%,21566.14
