Date,Adj Close,%Change,Returns on 10000
20-07-2022,111.884,1.10%,14886.20
21-07-2022,112.524,0.57%,14971.35
22-07-2022,113.295,0.68%,15073.90
25-07-2022,112.695,-0.53%,14994.08
26-07-2022,111.700,-0.88%,14861.68
27-07-2022,112.783,0.97%,15005.85
28-07-2022,114.729,1.73%,15264.77
29-07-2022,116.276,1.35%,15470.60
01-08-2022,117.516,1.07%,15635.54
02-08-2022,117.559,0.04%,15641.22
03-08-2022,117.859,0.26%,15681.19
04-08-2022,117.816,-0.04%,15675.50
05-08-2022,117.921,0.09%,15689.39
08-08-2022,118.841,0.78%,15811.81
10-08-2022,118.927,0.07%,15823.25
11-08-2022,119.810,0.74%,15940.72
12-08-2022,120.078,0.22%,15976.47
16-08-2022,120.937,0.72%,16090.75
17-08-2022,121.742,0.67%,16197.77
18-08-2022,121.887,0.12%,16217.19
19-08-2022,120.571,-1.08%,16042.04
22-08-2022,118.755,-1.51%,15800.38
23-08-2022,119.342,0.49%,15878.57
24-08-2022,119.528,0.16%,15903.24
25-08-2022,118.968,-0.47%,15828.75
26-08-2022,119.214,0.21%,15861.53
29-08-2022,117.545,-1.40%,15639.43
30-08-2022,120.570,2.57%,16041.96
01-09-2022,119.101,-1.22%,15846.43
02-09-2022,119.077,-0.02%,15843.31
05-09-2022,119.932,0.72%,15956.98
06-09-2022,119.862,-0.06%,15947.67
07-09-2022,119.649,-0.18%,15919.43
08-09-2022,120.832,0.99%,16076.71
09-09-2022,121.065,0.19%,16107.82
12-09-2022,121.763,0.58%,16200.66
13-09-2022,122.671,0.75%,16321.38
14-09-2022,122.220,-0.37%,16261.43
15-09-2022,121.362,-0.70%,16147.22
16-09-2022,119.010,-1.94%,15834.39
19-09-2022,119.629,0.52%,15916.64
20-09-2022,120.945,1.10%,16091.76
21-09-2022,120.280,-0.55%,16003.28
22-09-2022,119.679,-0.50%,15923.30
23-09-2022,117.625,-1.72%,15650.02
26-09-2022,115.511,-1.80%,15368.79
27-09-2022,115.450,-0.05%,15360.65
28-09-2022,114.440,-0.87%,15226.29
29-09-2022,114.161,-0.24%,15189.17
30-09-2022,116.035,1.64%,15438.57
03-10-2022,114.629,-1.21%,15251.43
04-10-2022,117.259,2.29%,15601.44
06-10-2022,117.648,0.33%,15653.16
07-10-2022,117.531,-0.10%,15637.59
10-10-2022,117.030,-0.43%,15570.84
11-10-2022,115.281,-1.49%,15338.21
12-10-2022,116.231,0.82%,15464.59
13-10-2022,115.489,-0.64%,15365.82
14-10-2022,116.651,1.01%,15520.51
17-10-2022,117.518,0.74%,15635.81
18-10-2022,118.706,1.01%,15793.93
19-10-2022,118.893,0.16%,15818.82
20-10-2022,119.243,0.29%,15865.37
21-10-2022,119.326,0.07%,15876.43
25-10-2022,119.867,0.45%,15948.42
27-10-2022,120.506,0.53%,16033.39
28-10-2022,120.844,0.28%,16078.35
31-10-2022,122.381,1.27%,16282.89
01-11-2022,123.308,0.76%,16406.21
02-11-2022,122.883,-0.34%,16349.61
03-11-2022,122.678,-0.17%,16322.32
04-11-2022,123.114,0.36%,16380.41
07-11-2022,123.693,0.47%,16457.49
09-11-2022,123.399,-0.24%,16418.28
10-11-2022,122.523,-0.71%,16301.73
11-11-2022,124.706,1.78%,16592.19
14-11-2022,124.564,-0.11%,16573.28
15-11-2022,125.067,0.40%,16640.19
16-11-2022,125.108,0.03%,16645.72
17-11-2022,124.661,-0.36%,16586.24
18-11-2022,124.414,-0.20%,16553.42
21-11-2022,123.410,-0.81%,16419.80
22-11-2022,123.982,0.46%,16495.83
23-11-2022,124.137,0.13%,16516.50
24-11-2022,125.607,1.18%,16712.12
25-11-2022,125.801,0.15%,16737.92
28-11-2022,126.139,0.27%,16782.85
29-11-2022,126.514,0.30%,16832.72
30-11-2022,127.465,0.75%,16959.33
01-12-2022,127.832,0.29%,17008.13
02-12-2022,127.041,-0.62%,16902.82
05-12-2022,127.072,0.02%,16907.01
06-12-2022,126.675,-0.31%,16854.22
07-12-2022,126.116,-0.44%,16779.84
08-12-2022,126.447,0.26%,16823.90
09-12-2022,125.680,-0.61%,16721.86
12-12-2022,125.683,0.00%,16722.15
13-12-2022,126.435,0.60%,16822.22
14-12-2022,126.789,0.28%,16869.40
15-12-2022,125.119,-1.32%,16647.17
16-12-2022,124.127,-0.79%,16515.22
19-12-2022,125.154,0.83%,16651.82
20-12-2022,124.914,-0.19%,16619.90
21-12-2022,123.649,-1.01%,16451.57
22-12-2022,123.161,-0.39%,16386.65
23-12-2022,120.983,-1.77%,16096.80
26-12-2022,122.393,1.17%,16284.40
27-12-2022,123.191,0.65%,16390.70
28-12-2022,123.124,-0.05%,16381.76
29-12-2022,123.588,0.38%,16443.44
30-12-2022,123.004,-0.47%,16365.80
02-01-2023,123.629,0.51%,16448.92
03-01-2023,123.867,0.19%,16480.52
04-01-2023,122.578,-1.04%,16309.10
05-01-2023,122.232,-0.28%,16263.08
06-01-2023,121.330,-0.74%,16142.97
09-01-2023,122.969,1.35%,16361.07
10-01-2023,121.698,-1.03%,16192.01
11-01-2023,121.572,-0.10%,16175.21
12-01-2023,121.316,-0.21%,16141.21
13-01-2023,121.984,0.55%,16230.11
16-01-2023,121.563,-0.35%,16174.06
17-01-2023,122.638,0.88%,16317.07
18-01-2023,123.397,0.62%,16418.07
19-01-2023,123.022,-0.30%,16368.20
20-01-2023,122.478,-0.44%,16295.70
23-01-2023,123.093,0.50%,16377.55
24-01-2023,123.093,0.00%,16377.54
25-01-2023,121.556,-1.25%,16173.12
27-01-2023,119.602,-1.61%,15913.14
30-01-2023,119.903,0.25%,15953.13
31-01-2023,119.992,0.07%,15964.94
01-02-2023,119.679,-0.26%,15923.38
02-02-2023,119.638,-0.03%,15917.94
03-02-2023,121.290,1.38%,16137.73
06-02-2023,120.681,-0.50%,16056.66
07-02-2023,120.388,-0.24%,16017.64
08-02-2023,121.418,0.86%,16154.79
09-02-2023,121.565,0.12%,16174.28
10-02-2023,121.313,-0.21%,16140.83
13-02-2023,120.730,-0.48%,16063.23
14-02-2023,121.809,0.89%,16206.77
15-02-2023,122.473,0.55%,16295.10
16-02-2023,122.608,0.11%,16313.06
17-02-2023,121.985,-0.51%,16230.17
20-02-2023,121.307,-0.56%,16139.99
21-02-2023,121.185,-0.10%,16123.70
22-02-2023,119.336,-1.53%,15877.71
23-02-2023,119.043,-0.25%,15838.71
24-02-2023,118.735,-0.26%,15797.70
27-02-2023,118.237,-0.42%,15731.43
28-02-2023,117.633,-0.51%,15651.07
01-03-2023,118.629,0.85%,15783.71
02-03-2023,117.753,-0.74%,15667.10
03-03-2023,119.601,1.57%,15912.93
06-03-2023,120.394,0.66%,16018.46
08-03-2023,120.684,0.24%,16057.09
09-03-2023,119.564,-0.93%,15908.00
10-03-2023,118.362,-1.01%,15748.12
13-03-2023,116.602,-1.49%,15513.91
14-03-2023,115.846,-0.65%,15413.43
15-03-2023,115.362,-0.42%,15349.03
16-03-2023,115.454,0.08%,15361.27
17-03-2023,116.231,0.67%,15464.64
20-03-2023,115.470,-0.66%,15363.31
21-03-2023,116.279,0.70%,15470.95
